fold,seed,layer,acc,epoch
4,0,0,0.41,75
4,0,1,0.72,68
4,0,2,0.785,43
4,0,3,0.8275,81
4,0,4,0.875,49
4,0,5,0.905,82
4,0,6,0.915,49
4,0,7,0.9175,49
4,0,8,0.915,49
4,0,9,0.915,49
4,0,10,0.915,68
4,0,11,0.92,49
4,1,0,0.43,85
4,1,1,0.725,79
4,1,2,0.8175,86
4,1,3,0.8475,52
4,1,4,0.8825,71
4,1,5,0.91,79
4,1,6,0.92,88
4,1,7,0.9225,87
4,1,8,0.9225,82
4,1,9,0.9225,88
4,1,10,0.925,81
4,1,11,0.925,72
4,2,0,0.3925,77
4,2,1,0.715,56
4,2,2,0.7975,87
4,2,3,0.85,78
4,2,4,0.88,80
4,2,5,0.9025,53
4,2,6,0.91,77
4,2,7,0.915,96
4,2,8,0.9275,93
4,2,9,0.9225,91
4,2,10,0.9225,93
4,2,11,0.9275,89
4,3,0,0.405,86
4,3,1,0.72,72
4,3,2,0.8,80
4,3,3,0.8425,76
4,3,4,0.89,81
4,3,5,0.9075,77
4,3,6,0.925,62
4,3,7,0.93,75
4,3,8,0.93,75
4,3,9,0.93,83
4,3,10,0.93,85
4,3,11,0.9275,86
4,4,0,0.3925,65
4,4,1,0.7325,63
4,4,2,0.8025,49
4,4,3,0.8275,84
4,4,4,0.8675,48
4,4,5,0.8975,82
4,4,6,0.9025,82
4,4,7,0.915,47
4,4,8,0.925,87
4,4,9,0.9225,83
4,4,10,0.925,86
4,4,11,0.935,85
4,5,0,0.435,76
4,5,1,0.725,70
4,5,2,0.8075,89
4,5,3,0.85,82
4,5,4,0.8925,79
4,5,5,0.92,82
4,5,6,0.92,79
4,5,7,0.925,49
4,5,8,0.9275,70
4,5,9,0.9275,88
4,5,10,0.9275,50
4,5,11,0.9275,50
4,6,0,0.4,73
4,6,1,0.785,98
4,6,2,0.8175,69
4,6,3,0.8425,54
4,6,4,0.8775,51
4,6,5,0.905,45
4,6,6,0.9125,59
4,6,7,0.92,92
4,6,8,0.93,59
4,6,9,0.9325,92
4,6,10,0.9275,59
4,6,11,0.9275,91
4,7,0,0.395,79
4,7,1,0.745,91
4,7,2,0.8075,79
4,7,3,0.8325,74
4,7,4,0.8825,92
4,7,5,0.9075,80
4,7,6,0.9175,81
4,7,7,0.92,90
4,7,8,0.9275,78
4,7,9,0.92,58
4,7,10,0.9275,53
4,7,11,0.9225,53
4,8,0,0.41,85
4,8,1,0.7425,78
4,8,2,0.8375,71
4,8,3,0.8775,65
4,8,4,0.9075,77
4,8,5,0.9175,23
4,8,6,0.9275,54
4,8,7,0.93,98
4,8,8,0.93,93
4,8,9,0.9275,76
4,8,10,0.925,65
4,8,11,0.9225,90
4,9,0,0.3975,76
4,9,1,0.74,72
4,9,2,0.805,60
4,9,3,0.8425,61
4,9,4,0.8725,64
4,9,5,0.9075,53
4,9,6,0.9125,84
4,9,7,0.92,84
4,9,8,0.92,82
4,9,9,0.9175,57
4,9,10,0.9275,78
4,9,11,0.9325,56
4,10,0,0.405,81
4,10,1,0.7225,76
4,10,2,0.8175,82
4,10,3,0.845,54
4,10,4,0.8875,91
4,10,5,0.905,61
4,10,6,0.9175,91
4,10,7,0.925,90
4,10,8,0.92,66
4,10,9,0.92,70
4,10,10,0.92,70
4,10,11,0.9225,82
4,11,0,0.395,86
4,11,1,0.725,81
4,11,2,0.815,48
4,11,3,0.85,57
4,11,4,0.8875,78
4,11,5,0.9175,59
4,11,6,0.925,93
4,11,7,0.9325,81
4,11,8,0.935,92
4,11,9,0.9375,88
4,11,10,0.9425,81
4,11,11,0.935,74
4,12,0,0.43,89
4,12,1,0.745,72
4,12,2,0.81,62
4,12,3,0.8375,45
4,12,4,0.88,53
4,12,5,0.905,53
4,12,6,0.915,26
4,12,7,0.9225,26
4,12,8,0.925,64
4,12,9,0.925,64
4,12,10,0.93,64
4,12,11,0.9275,88
4,13,0,0.4125,75
4,13,1,0.7275,81
4,13,2,0.815,56
4,13,3,0.8475,82
4,13,4,0.8875,77
4,13,5,0.9125,77
4,13,6,0.925,58
4,13,7,0.93,58
4,13,8,0.935,58
4,13,9,0.9325,58
4,13,10,0.9325,82
4,13,11,0.9325,82
4,14,0,0.4025,84
4,14,1,0.73,57
4,14,2,0.8225,58
4,14,3,0.8575,80
4,14,4,0.8875,54
4,14,5,0.915,85
4,14,6,0.9275,89
4,14,7,0.9275,91
4,14,8,0.9275,79
4,14,9,0.9275,77
4,14,10,0.9275,77
4,14,11,0.9275,77
4,15,0,0.395,76
4,15,1,0.72,71
4,15,2,0.8075,89
4,15,3,0.83,26
4,15,4,0.87,66
4,15,5,0.92,93
4,15,6,0.93,96
4,15,7,0.935,77
4,15,8,0.9325,77
4,15,9,0.9325,79
4,15,10,0.9325,88
4,15,11,0.9325,77
4,16,0,0.3675,85
4,16,1,0.7075,55
4,16,2,0.81,77
4,16,3,0.8425,82
4,16,4,0.8825,60
4,16,5,0.905,82
4,16,6,0.9175,88
4,16,7,0.9225,67
4,16,8,0.9275,67
4,16,9,0.93,77
4,16,10,0.9275,77
4,16,11,0.93,67
4,17,0,0.3725,85
4,17,1,0.6975,39
4,17,2,0.8,37
4,17,3,0.835,35
4,17,4,0.875,25
4,17,5,0.8925,16
4,17,6,0.91,79
4,17,7,0.92,79
4,17,8,0.925,79
4,17,9,0.9275,83
4,17,10,0.93,79
4,17,11,0.9325,51
4,18,0,0.3975,83
4,18,1,0.7525,58
4,18,2,0.8275,83
4,18,3,0.855,73
4,18,4,0.8925,62
4,18,5,0.9025,74
4,18,6,0.92,75
4,18,7,0.9275,80
4,18,8,0.93,75
4,18,9,0.9325,75
4,18,10,0.935,75
4,18,11,0.9375,75
4,19,0,0.4125,72
4,19,1,0.745,84
4,19,2,0.8225,40
4,19,3,0.84,66
4,19,4,0.8725,45
4,19,5,0.8975,30
4,19,6,0.915,66
4,19,7,0.91,57
4,19,8,0.915,64
4,19,9,0.915,66
4,19,10,0.9125,66
4,19,11,0.925,66
4,20,0,0.4025,84
4,20,1,0.715,55
4,20,2,0.8225,45
4,20,3,0.86,46
4,20,4,0.885,84
4,20,5,0.915,75
4,20,6,0.92,46
4,20,7,0.9275,46
4,20,8,0.9275,46
4,20,9,0.9275,46
4,20,10,0.9225,46
4,20,11,0.9325,50
4,21,0,0.385,73
4,21,1,0.74,86
4,21,2,0.8125,56
4,21,3,0.84,67
4,21,4,0.8825,76
4,21,5,0.8975,59
